MENSAJES;POLARIDAD
compañeros esta es una recopilación con lo que coincidimos todos por favor opinen digan que le quitamos que le agregamos cual cosa que sea de su opinión para poder terminarlo y poder entregarlo gracias;Positivo
Compañera me parece bien el resumen que hemos logrado esperemos el comentario de los demás compañeros para poder pasarlo al compañero secretario para que lo suba con el nombre de los integrantes;Positivo
Esta bien compañera representa los aportes de todos, solo una pequeña sugerencia en cuanto a la estetica de la imagen, creo que se deberia poner un color diferente a cada area del PLE para identificarlas de mejor manera... lo demas esta correcto.;Positivo
Ok ahora me pongo en eso;Positivo
Me parece bien la observación del compañero Jeoffre V Lima;Positivo
bueno compañero secretario haga lo suyo y nos indica el trabajo que va a subir claro esta antes que lo haga nos avisa cualquier inconveniente;Positivo
Claro que sí, el que subiré será el que ha publicado usted;Positivo
jjjjj pondra los integrantes jjj;Positivo
Compañeros el trabajo que subiré será el que publicó la compañera Ivanova Procel, si tienen algo que argumentar espero que lo hagan hasta el medio día de mañana, ya que mañana en la tarde lo subiré.;Positivo
Ruben Salinas ha subido un archivo.;Positivo
compañero maycol revisara el historial estan unos comentarios;Positivo
Maycc Suárez Morocho ha subido un archivo.;Positivo
Ok compa;Positivo
Ok gracias ni me he acordado;Neutro
Bienvenidas compañeras envienme sus respuestas porfavor de la actividad recomendada de la guía de la pag 112 de la guía para elborar nuestro tranbajo, y cuentenme como les ha parecido trabajar con google drive, alguna experiencia?;Neutro
Mi experiencia con dropbox y google drive ha sido magnifica! Me parece que estos programas destronaran a otros que utilizamos con capacidad limitada de megabites, para este trabajo he usado mi correo : oskrblues@hotmail.com .Espero que ustedes también lo hayan utilizado y sino es así les recomiendo que lo empiecen hacer ya que son programas muy completos y las ventajas que he visto a traves del tiempo que he utilizado dichos programas es que no debemos preocuparnos por guardar nada ya que se guardan en la nube automáticamente y eso si que es una ventaja ya que si se va la luz, se acaba la bateria del dispositivo o cualquier otra calamidad, estos programas guardan todo por nosotros. Sin más me despido esperando contactarme con ustedes y que también me cuenten un poco su experiencia con dichos programas, saludos cordiales.;Positivo
¡Hola, muy buenos días! Tengo una inquietud ¿qué significa la foto de la portada?;Neutro
Buena noche profe! Es un incentivo para el grupo, significa que todo lo que tengamos en mente se lo puede realizar! Saludos;Positivo
¡Muy buenos días! que bueno por ayudarnos a tener presente esta verdad.;Positivo
Así es estimada, saludos!;Positivo
Gracias Marlene por su participación, así queda la portada de nuestro grupo, saludos.;Positivo
No hay de que!;Neutro
Una preguntita Lilian, tenemos que compartir algun documento por google drive? Como lo hicimos en el primer bimestre?..;Neutro
Sería oportuno cualquier cosa que tengamos que compartir sería bueno realizarlo por Google drive en vista que ya lo conocemos...;Positivo
Ah! Qué bien quedo la portada...;Positivo
Muy bien ¡en hora buena!;Positivo
Cordial saludo compañera Mary con respecto a la pregunta me permito comunicarle que la actividad que nos plantea realizar es distinta a la que hicimos en el primer bimestre. Se trata de contar con nuestros archivos en la nube, es decir a través del servicio que presta Dropbox o Google Drive. Yo utilice Google Drive. Revise las instrucciones, debe instalar en su computadora Dropbox o Google Drive y subir archivos. Para hacer el documento final por fa trate de capturar las pantallas de todos los pasos que realice. Que tenga un buen día.;Positivo
Disculpe compañera los pasó a seguir donde los encuentro;Positivo
La Actividad Recomendada se encuentra en el texto - guía pag 112, alli puede encontrar los pasos a seguir.;Positivo
Buenos días compañeras, les comunico que he compartido con google drive el trabajo colaborativo del II Bimestre. Saludos cordiales, Marlene B.;Positivo
¡Marlene, muy buenos días! Gracias por compartirnos su trabajo, ¿nos podría dar acceso? mil gracias.;Positivo
"Muy buenos días! para poder acceder se deve dar clic sobre ""Abrir Docs"" que se encuentra como link en el correo electronico que les he compartido.";Positivo
Saludos cordiales, Marlene Buenaño.;Positivo
Google Drive es un servicio de almacenamiento de archivos en línea, es de propiedad de la Empresa Google, cada usuario cuenta con 10 Gigabytes de memoria gratuitos para almacenar sus archivos, mismos que se puede ampliar mediante pago. Este servicio está disponible para computadoras de escritorio y portátiles Mac, Android.;Positivo
LiliMar Aldaz ha compartido un enlace.;Positivo
Una vez que he instalado Google Drive en mi computador, he podido acceder desde cualquier lugar a mis archivos, solo tengo que contar con internet, esto me parece increíble ya que no requiero de un dispositivo transportable.;Positivo
Buenos días compañer@s por favor se requiere que participen en este espacio, indicando el proceso para instalar Google Drive, lo cual nos permitirá elaborar el informe final.;Positivo
¡Lilian, muy buenos días! como usted indica, el trabajo debe ser desarrollado entre todos.;Positivo
Mary Valverde ha subido un archivo.;Positivo
!Muy buenos días, estimada Tutora! Cabe recalcar que en el trabajo colaborativo del II Bimestre, ha colaborado, participado activamente la compañera Lilian, ... se espera la participacion de los dos otras integrantes del grupo para editar el documento... (Gracias );Positivo
Buenas noches tutora yo también continuanamente e estado participando y estoy realizando el trabajo final;Positivo
No cabe duda que stan trabajando como verdadero equipo.;Positivo
"Empezar a usar ""Google Drive"". Permite guardar archivos de forma segura y acceder a ellos desde cualquier dispositivo. Además, se puede abrirlos y editarlos en cualquier dispositivo. El espacio de almacenamiento es de 15 GB gratuito que se reparten en Google Drive,Google Fotos,Gmail. Mi unidad es la carpeta que contiene los archivos y las carpetas que creas. Para acceder a tus archivos desde dispositivos diferentes, inicia sesión con tu cuenta de Google. Descarga la aplicación para ordenador para sincronizar automáticamente los archivos desde tu ordenador. Organizar archivos, Cambiar el nombre de los archivos, Crear, mover o eliminar archivos o carpetas, Buscar y ordenar tus archivos, Destacar los elementos favoritos o importantes, Compartir archivos , Comparte archivos o carpetas para que otras personas puedan editarlos, verlos o comentarlos.";Positivo
¡Hola Mary! muy bien.;Positivo
Al instalar Google Drive se crea una carpeta específica llamada Google Drive, esta carpeta se sincroniza de forma bidireccional con Google Drive en la Web. Al mover los archivos a esta carpetas se tiene acceso en cualquier lugar, Se realiza cambios en dichos archivos, compartir archivos, los archivos se almacenan en el equipo local y también en la nube, los cambios se reflejan tanto en el equipo local como online.;Positivo
¡Muy bien Lilian!;Positivo
Google drive también permite crear documentos online y compartirlo con un grupo de personas para que puedan editarlo. 1.- En el buscador tipear https://www.google.com/intl/es-419/drive/ 2. En el sitio web ir dar clic en “descargar” luego “descargar para PC”. 3. Una vez descargado, ejecutarlo y seguir los pasos de instalación. 4. Una vez instalado agregar una cuenta de google. 5. En la parte inferior derecha queda el logo de google drive. 6. En la carpeta puedes almacenar documentos, fotos, videos y manipularlos, descargarlos desde el sitio web o desde el teléfono celular.;Positivo
Gracias infinitas por su contribución;Positivo
!Buenas Tattys! le comento que por gmail le he compartido el trabajo colaborativo para usted también pueda dar su aporte...gracias;Positivo
Saludos compañeras, como ustedes conocen de acuerdo al cronograma del trabajo grupal, debemos realizar el trabajo final, por tanto sugiero que Tatiana, en calidad de Secretaria del Grupo se encargue de recopilar la participación para elaborar el informe final.;Positivo
Buenas tardes en la noche reviso toda la información y les envió si;Positivo
Compañeras por favor envieme la información para poder realizar el informe final gracias....;Positivo
¡Muy bien Tatty, así promoviendo la interacción.;Positivo
En el grupo1 designado por la nuestra tutora, el rol de secretaria fue designado a la compañera Arevalo Tatiana, me pueden confirmar esta información.(gracias);Neutro
Así es dígame bien dia;Neutro
Hola Tatiana , te comunico que el documento lo puedes revisar para el informe final que tienes que enviar a la tutora en calidad de secretaria, te he compartido el documento por google drive a tu correo electrónico de gmail.;Positivo
saludos cordilaes;Neutro
Mary Valverde ha subido un archivo.;Positivo
Por favor revisa tu correo electrónico de gmail ahi te lo he compartido.;Positivo
También lo puedes ver aqui en facebook que te lo puse hace unos minutos... !Qué tengas un buen día!;Positivo
Por favor, serí tan amable de avisar cuando haya realizado el informe final a nuestra tutora.... (gracias);Positivo
Buenos días si yo en la noche reviso y realizó el informe y les reenvío gracias;Positivo
Hola compañera Tatiana, por averiguarle si ya recopiló toda la información, para que por favor nos reenvíe y podamos aportar con nuestras sugerencias. Recuerde que la tarea debemos enviar hasta mañana.;Positivo
Buenas tardes hasta de noche ya reenvío compañera;Positivo
Compañeras ayer les reenvié el documento adjuntando todo me confirma si les llegó;Positivo
Hola compañera, disculpa a que correo me enviaste porque no tengo ningún documento, mis correos son: lilianaldaz@gmail.com ó lilianaldaz@yahoo.es;Positivo
Via Google drive;Neutro
entonces es el documento que compartió Mary, o sea ahí incluiste nuestras participaciones;Positivo
Exacto ahí está editado;Neutro
!Hola tatiana! te comunico que he revisado mis correos sea de mb37@hotmail.it que marlenebuenano66@gmail.com pero no he recibo ningun informa final.;Negativo
!Hola Tatiana! te comunico que he revisado mis correos sea de mb37@hotmail.it que marlenebuenano66@gmail.com pero no he recibo ningun informa final.;Negativo
Se recuerda el el informe final debe ser elaborado con el aporte de trabajo de las tres participantes (no un documento individual). Gracias.;Negativo
Sì, por favor la compañera Tatiana puede agregar su aporte al documento ya trabajado por Lilian y por mi persona, él mismo que fue compartido el 15 de julio sea por los canales de google drive como de Facebbok. Gracias;Negativo
Buenos dias ayer ya se envio el documento final a la profesora gracias;Positivo
Hola Tatiana, sería tan amable de enviarme también a mi el documento final, gracias. Hasta hoy no ha llegado.;Positivo
Por favor, Tatiana me podría decir¿ con qué nombre subió el archivo a google drive?. Gracias.;Positivo
Hola Mary espero que ya hayas revisado el informe final, envié el documento compartido por gmail. Una linda tarde.;Positivo
Hola Lilian! si, gracias... muy amable de tu parte haberme compartido el informe final.;Positivo
Éxitos para los exámenes presenciales!!;Positivo
Estimadas compañeras, reciban un cordial saludo quiero externarles mis buenos deseos para los exámes presenciales que vayan de lo mejor....☺☺☺;Positivo
Gracias compañera igualmente;Positivo
Gracias querida Mary de igual manera espero que te vaya super bien en los exámenes presenciales, muchas bendiciones, éxitos.;Positivo
Keila Japon ha creado el grupo Grupo #2.;Positivo
Keila Japon ha actualizado la foto de portada del grupo;Positivo
Keila Japon ha actualizado la descripción.;Neutro
"Buenas Noches compañeras lo primero que debemos hacer es realizar de manera individual la Practica Nº 9, del documento ""Practicas procesador de palabras"", una vez realizado avisan para proceder con la realización de la parte grupal. Espero una pronta respuesta, ya que tenemos hasta el 5 de Noviembre para hacer la entrega del mismo. Saludos, Keila Japon";Positivo
Nuestro grupo se encuentra integrado por: Nardy Yadira Tapia Cando, Gabriela Carolina Lapo Orellana, Noemy Quezada, Keila Japon. Tutora: Dunia Ines Jara Roa;Neutro
"Lo primero que debemos es: Realizar de manera personal la practica Nº 9 del documento ""Practicas procesador de palabras"". Tenemos hasta el día de mañana para hacer. Cualquier duda que tenga me comunican. Saludos,";Positivo
listo ya lo termine jjj;Positivo
Q bueno sra Noemy Quezada!!! Esperemos al resto de compañeras para poder continuar...;Positivo
ok gracias por la ayuda si no aun estuviera sin pasar de la primera jjj;Positivo
No se preocupe!!!! :-)....;Positivo
buenas noches compañeras ya empece a realizar la practica 9;Positivo
Ok compañera Gaby Carito Lapo!!! Ya que termine comenzaremos con la realizacion de la parte grupal;Positivo
esta bien compañera Keila aunq debemos esperar a las demas q se integren;Positivo
Si compañera falta solo una persona.. ojala responda en estos dias...;Positivo
Buenas tardes compañeras creo q ya es tiempo de hacer la partr grupal. Coordinemos el dia y la hora. Espero sus comentarios.;Positivo
Compañeras podría ser el día hlde hoy a las 8 de la noche o el día sábado en la mañana tipo 10;Positivo
Yo creo q hoy en la noche podemos reunirnos tipo 8 de la noche;Positivo
Ya esta bien que debemos hacer ?;Positivo
Tenemos q escribir el procedimiento para hacer un encabezado y pie de pagina;Positivo
Ademas hay q designar una secretaria;Positivo
mañana en la mañana si porfa compañeras.;Positivo
A continuación presento los pasos para insertar un pie de pagina: Paso 1: Hacer clic en la ficha Insertar. Luego, en la opción Pie de página. Aparece un menú desplegable. Paso 2: En el menú desplegable aparecen todas las opciones de diseño que hay para insertar el pie de página. Se debe escoger la que mejor se acomode a nuestros gustos y necesidades. Paso 3: En la Cinta de opciones aparecerá una nueva ficha con todas las herramientas para realizar las modificaciones gráficas del pie de página. Paso 4: Luego escribiremos la información que queremos que contenga el pie de página. En este caso escribiremos en la parte izquierda los datos personales de nosotros y en la derecha el número de la página. Y por ultimo Paso 5: Luego damos doble clic en la página y listo Espero comentarios para ver si están de acuerdo.;Positivo
Revisando los pasos que se ha puesto esta claro como debemos insertar un pie de pagina.;Positivo
si compañera estoy deacuerdo;Positivo
También estoy de acuerdo compañeras;Positivo
Keila Japon ha subido un archivo.;Positivo
quedo lindo compañera;Positivo
Gracias!!! Lo sube...;Positivo
solo hay que subir uno solo el que hicimos del grupo nada mas;Positivo
si solo el q stoy publicando, nada mas;Positivo
Jane Portilla ha creado el grupo G5-C-AA2016.;Positivo
Julita Romero ha actualizado la foto de portada del grupo.;Positivo
Compañeros, y profesora buenas noches si ya estamos todos favor empecemos. Nuestra lider nos va a dirijir en las actividades a realizarce.;Positivo
Julita Romero ha subido un archivo.;Positivo
Gracias por la invitación a unirme al grupo. ¿Que les parece si se hace una portada que tenga relación con el nombre de la asignatura?;Positivo
si me parece una excelente idea estimada Tutor, por favor compañeros demos opciones.;Positivo
Buena idea ,podría ser la foto de una computadora;Positivo
Si es muy buena idea;Positivo
Compañeros un gusto compartir con ustedes esta actividad. Saludos cordiales.;Positivo
muy buenas noches compañeros :);Positivo
compañeros...........;Neutro
Esteban Salguero ha subido un archivo.;Neutro
Jhonnatan Piure ha subido un archivo.;Positivo
Julita Romero ha subido un archivo.;Positivo
Julita Romero ha compartido un enlace.;Positivo
Esteban Salguero ha compartido un enlace.;Positivo
¡Esteban! Mil gracias por compartirme su trabajo, queda pendiente el trabajo grupal. Cordiales saludos, Dunia Inés;Positivo
Jhonnatan Piure ha compartido un enlace.;Positivo
Les recuerdo que esta pendiente el trabajo grupal;Positivo
¡Jhonnatan! Mil gracias por compartir su trabajo, queda pendiente el trabajo grupal. Cordiales saludos, Dunia Inés;Positivo
Jane Portilla ha compartido un enlace.;Positivo
¡janela! Mil gracias por compartirme su trabajo, queda pendiente el trabajo grupal. Cordiales saludos, Dunia Inés;Positivo
¡Muy bien! Ahora si vamos a resolver el ejercicio propuesto.;Positivo
Jorge Luis Quezada Jimenez ha actualizado la foto de portada del grupo.;Positivo
Jorge Luis Quezada Jimenez ha creado un evento privado para el grupo.;Positivo
A mí me parece perfecta la portada que puso Jorge Luis Quezada Jimenez, si a eso le agregamos el logo de la UTPL tal vez, qué dicen???;Positivo
Acá ya tocó cambiar el orden de las casas verde y marfil para poder continuar;Positivo
Jorge Luis Quezada Jimenez ha subido un archivo.;Positivo
Claudio Morales ha compartido una foto;Positivo
Compañero justo a esto me refería. El enunciado debe estar mal... Porque la casa verde NO PUEDE estar a la derecha de la casa marfil sino a la izquierda... Debe ser error de traducción del puzzle original;Positivo
Digo q no puede estar porque llega un momento que ya no podemos continuar y ahí se termina incompleto el puzzle;Positivo
Buena acotación este rato reviso bien a ver que se puede hacer!!!;Positivo
No no no... No hay q revisar puesto que luego en la siguiente imagen ya cambiaste el orden de ambas casas y ahí ya se pudo continuar.;Positivo
Pueden haber varias interpretaciones en este enunciado porque dice esta a su derecha y como esta el cuadro estaria correcto esta a la derecha de las 5 casas y a la derecha de la de marfil, no es claro el enunciado pero si es interpretable a mi parecer;Positivo
Edison David Asto ha subido un archivo.;Positivo
Patricia Ramos ha compartido una foto;Positivo
Karen de Blacio ha compartido un álbum;Positivo
William Quizhpe ha compartido una foto;Positivo
Bien William!;Positivo
Claudio Morales ha colaborado en el álbum: 11 de diciembre de 2018.;Neutro
Este es mi resolución del ejercicio planteado, cualquier inquietud abro debate, tanto para el mío como el de mis compañeros!!!;Positivo
Me gustó la forma de solucionar el ejercicio. Empezó llenando las restricciones en el cuadro y después hizo las deducciones. Parece una forma mucho más sencillo que como yo lo hice.;Positivo
Carlos Medina ha colaborado en el álbum: Resolución ejercicio: Carlos Medina.;Positivo
Buena resolución. Pero aún no entiendo porqué cambia la casa verde y marfil de lugar. En el orden que expone el ejercicio sí se llega a una solución.;Positivo
Bueno, es solo cuestión de interpretación. Igual se llega a la respuesta.;Positivo
Jorge Luis Quezada Jimenez ha creado un evento privado para el grupo.;Neutro
Jorge Luis Quezada Jimenez ha creado un evento privado para el grupo.;Neutro
Patricia Ramos ha compartido una foto;Positivo
Buenos días;Positivo
Patricia, muy buenos días! con la representación de grafos ¿cuál es la respuesta a la pregunta del puzzle?;Positivo
Muy buenos días, la respuesta que obtuve en el ejercicio 5.13 es que el agua beben en la casa de color amarilla y la zebra vive en la casa de color verde.;Positivo
Es la solución más novedosa que he visto compañera. Excelente que haya aplicado los grafos de árbol de búsqueda aprendidos en la materia.;Positivo
Me parece perfecto utilizar grafos, de hecho debería ser así como se tiene que desarrollar;Positivo
Muy bien por el trabajo grupal, espero puedan concluir de manera satisfactoria la actividad colaborativa.;Positivo
Buenas tardes con todos, El día de mañana para realizar la segunda parte del deber de IA, a las 21:00, Están todos de acuerdo o sugieren otro horario?;Positivo
Gracias Patricia su gentileza al convocar a la reunión, espero todos le respondan y ´puedan llevar su conversación como grupo en Facebook.;Positivo
Hola compañera x favor que sea temprano. Mañana o tarde está bien.;Positivo
Propongan un horario para ver si todos están de acuerdo.;Positivo
Les parece a las 17:00?;Positivo
A esa hora si me parece bien. Esperemos el resto de compañeros;Positivo
Confirmar en el transcurso del día si ese horario está bien para todos. Por favor notificar este aviso en el grupo de whatssap, yo no puedo conectarme a ese chat por problemas con mi celular.;Positivo
Buenas noches con todos, necesitamos definir el horario para realizar la segunda parte del trabajo colaborativo de Inteligencia Artificial. Se propuso a las 17:00 del sábado pero necesitamos la confirmación de todos.;Positivo
Compañeros y tutora según lo leído en las indicaciones de la tarea para esta semana la actividad es subir nuestra resolución del ejercicio. Yo personalmente lo hice el día lunes 10. En cada imagen están los pasos para llegar a la solución. Estimada tutora la subida es en un archivo Word o Excel? O en cualquier tipo de documento? Yo lo hice en imágenes... Saludos;Negativo
Carlos, muy buenas tardes! respecto a su inquietud le comento la solución de la tarea conjunta puede ser un archivo word.;Positivo
Dunia Ines Jara Roa Ok gracias estimada;Positivo
Claro, según el cronograma esta semana sería la resolución del ejercicio de todos.;Positivo
Buenos días, tenemos ya horario para la reunión compañeros?;Positivo
Patricia Ramos buenas tardes, la segunda parte de la actividad ya todos la hemos hecho. Q es subir nuestra resolución del ejercicio.. O necesitamos algo más?;Positivo
"En el grupo de Facebook cada integrante del grupo debe compartir la solución del ejercicio (subir el archivo de solución); así mismo, debe exponer, platicar, compartir la forma en que cada uno solucionó el ejercicio 5.13 (10 de diciembre al 16 de diciembre).";Positivo
Faltaría la parte de compartir la forma como cada integrante realizó el ejercicio.;Positivo
Patricia Ramos en mi publicación estoy compartiendo la forma de como hacerlo. Paso a paso;Positivo
https://www.facebook.com/groups/266210240916138/permalink/266751080862054/;Neutro
Entonces estaría listo lo de esta semana, mi preocupación es que no puedo conectarme al chat en whatssap y no sé cuando se van a reunir. Por favor compañero para no molestar le pido muy comedidamente que publiquen en este chat las fechas de reunión para poder estar presente.;Positivo
Buenos días, yo lo realicé con árbol de búsqueda;Positivo
"Compañeros aquí adjunto mi resultado. Aplicando la ""Búsqueda con Vuelta Atrás"".";Positivo
Christian, no observo el adjunto con la solución del puzzle.;Negativo
"A las personas que aún no han compartido la solución personal del puzzle es fundamental que lo hagan. No observo la solución de Christian ni la de Claudio; por favor, me ayudan con esto.";Negativo
Disculpas. Quizá no lo reconoció al archivo excel que adjunté.;Positivo
Buenas tardes, El día de ayer envié un correo a todos los integrantes del grupo para invitar a la reunión donde se tratará la resolución del ejercicio 5.13, el mismo que se realizará el día viernes a las 21:00. Por favor responder el correo para saber si pueden o desean plantear otro horario. Hasta el momento solo Carlos ha contestado el mail.;Positivo
Jorge Luis Quezada Jimenez ha compartido una imagen;Neutro
Listo. Pienso que aquí vamos a ir viendo como se desarrolló el ejercicio;Positivo
Buenas noches compañeros como se acordo aqui vamos a hacer un analisis grupal para poder cumplir con el requerimiento de esta semana se analiza la opcion mas acorde a nuestra carrera que es el desarrollo del puzzle por arbol de busqueda Patricia Ramos;Positivo
Ahí estamos todos?;Neutro
Patricia Ramos ahi se etiqueto para que quede constancia;Positivo
Como les comentaba yo inicié con los siguientes datos;Positivo
para obtener la ubicación y color de las casas;Positivo
y llegué a esto;Positivo
De acuerdo se iniciaria ubicando las casas que es la primera referencia que tenemos para de ahi ir complementando las condiciones que nos da;Positivo
Uds con qué información empezaron?;Positivo
Yo plantee estos escenarios en el orden que ahi indica;Positivo
Ordene las sentencias y fui creando tablas de eventos;Positivo
Después de obtener la información de la ubicación y los colores inicié el árbol de búsqueda con estos datos;Positivo
En la casa amarilla vive un noruego y en la casa roja un inglés, en el resto de casas no tenemos esta información;Positivo
Creo que cada uno planteamos de diversas maneras, llegando al mismo resultado el analisis pues era obvio cada uno lo iba a hacer a su manera ya que cada uno pensamos de manera diferente, lo importante es que llegamos a una misma solucion...... creo que en cada una de nuestras publicaciones ponemos un analisis claro de como lo realizamos, el orden no altera el producto final como se dice....;Positivo
Ahora no se si estas ideas y de como se lo hizo lo podemos ir plasmando en un informe o documento que es lo que tambien debemos hacer;Positivo
Exacto... Al final todos llegamos a la misma respuesta... Sinceramente yo no vi el video pero es muy interesante la forma como lo ha realizado la compañera;Positivo
Yo estuve consultando un poco y encontre un informe en el que podemos basarnos con una introduccion donde definimos el problema, el porque llega a ser un ejercicio de inteligencia artificial y donde podemos poner nuestros analisis como grupo e individuales;Positivo
Carlos Medina ni yo compñaero no e visto el video talvez hubiese sido mas facil pero bueno ya esta;Positivo
El video es muy bueno a mí me ayudó bastante;Positivo
Pues terminando el chat lo voy a revisar... Gracias por la información compañera;Positivo
Que les parece ir plasmando el informe de esta manera, nos serviria de modelo base para ir ajustando a nuestro ejercicio;Positivo
Ya que creo que el resultado y resolucion del ejercicio lo tenemos claro individual y coincidimos como grupo;Positivo
si me parece buena idea;Positivo
Yo inicialmente le di un pasada por cada instrucción... Luego otra y así sucesivamente. Evaluando opciones probables y posibles, descartando lo que no nos servía y al final llenando cada celda hasta obtener la respuesta;Positivo
Carlos Medina Casi lo mismo lo hice yo;Positivo
Patricia Ramos Ok como nos organizamos entonces para ir haciendo el informe cuales son sus propuestas;Positivo
Jorge nos puede ayudar con el link de ese informe para revisarlo por favor;Positivo
Voy a revisar el informe para ver cómo seguimos avanzando;Positivo
Este domingo hay que subir la segunda parte al EVA, esto hay que realizarlo de forma individual;Positivo
Patricia Ramos Ok pero se debe llevar una agenda de las actividades eso no se si es personal y en grupo o solo del grupo yo envie un modelo pero no respondieron en si quedaba asi ni nada por el estilo asi que portada y agenda no se si quedan de la misma manera los demas compañeros no colaboran y eso es un problema en estos trabajos en grupo asi que definamoslo nosotros este momento y los demas pues deberan aceptar por no estar presentes;Positivo
Yo le pregunté a la tutora y me dijo que el diario personal era individual;Positivo
Patricia Ramos mejor entonces, asi tenemos en esta semana el trabajo colaborativo que estamos realizando revisar el informe e ir definiendo como se va a presentar ya el tema de como se resolvio esta mas que claro;Positivo
Fijemos fecha para la siguiente semana y ver cómo podemos avanzar con el informe final;Positivo
Patricia Ramos jueves o viernes creo que seria ya que hasta el miercoles van a estar en festejos;Positivo
puede ser el viernes a las 21:00?;Neutro
Patricia Ramos por mi esta bien;Positivo
Compañeros y si es jueves?;Neutro
Carlos que opina del horario?;Neutro
O el viernes más temprano;Neutro
El jueves yo si puedo a las 21:00;Positivo
Jorge le parece el jueves a las 21:00?;Positivo
Si esta bien jueves 21h00;Positivo
Listo entonces quedamos en ese horario, esperemos que el jueves haya más participantes.;Positivo
Listo compañeros. Así quedamos entonces;Positivo
Gracias compañeros por su tiempo, que tengan una buena noche;Positivo
De acuerdo quedamos el jueves entonces gracias por asistir nos vemos el dia jueves felices fiestas y nos vemos el jueves;Positivo
Gracias. Feliz Navidad a todos. Xauuu;Positivo
Ok estamos los que asistimos a la convocatoria y estan etiquetados los demas compañeros y tutora por favor empecemos.......;Positivo
Esta semana debemos subir el entregable 2 si no estoy mal a que hora nos conectamos el domingo no se si esta bien tipo 4 o 5 para juntar lo que resolvamos y poder subir con la agenda;Positivo
Buen día ... esa hora está bien para mi, desde las 4;Positivo
Buenas tardes compañeros. Aquí estoy para resolver juntos el entregable 2.;Positivo
En resumen, la búsqueda de algoritmo de árbol nos permite realizar de una forma más organizada la búsqueda que realizamos, ya que eliminamos casi desde el principio, caminos erróneos, como por ejemplo, la opción de que la primera casa o la segunda sean rojas ya se eliminan desde el principio.;Positivo
Jorge Luis Quezada Jimenez ha creado un evento privado para el grupo.;Neutro
Buenas noches con todos;Positivo
Buenas noches;Positivo
Carlos le parece si empezamos revisando el ejercicio?;Positivo
Patricia Ramos claro... Aunque realmente me parece que Ud es quien debería indicarnos los pasos para la resolución por medio de árboles... Puesto que yo lo hice de otra manera. :);Positivo
Buenas noches;Positivo
